,Sheetname,Date,Procedure,Test,Jar,Floc,Floc_Dosage (ppm),Coag,Coag_Dosage (ppm),Coagulant:Flocculant,Turbs,RANK,MAX,MIN,RANGE,Comment,Trub % decrease
2,Jan 2022(D),2022-01-20,standard,Jan 2022(D)_1,1,blank,0.0,blank,0.0,0 ppm:blank   0 ppm:blank,999.0,6,999.0,99.3,899.7,7767 settled faster with all coags but 7878 did give a better water quality,
3,Jan 2022(D),2022-01-20,standard,Jan 2022(D)_1,2,7767,0.5,2537A,10.0,10 ppm:2537A   0.5 ppm:7767,613.0,4,999.0,99.3,899.7,7767 settled faster with all coags but 7878 did give a better water quality,
4,Jan 2022(D),2022-01-20,standard,Jan 2022(D)_1,3,7767,0.5,2495,10.0,10 ppm:2495   0.5 ppm:7767,195.0,2,999.0,99.3,899.7,7767 settled faster with all coags but 7878 did give a better water quality,
5,Jan 2022(D),2022-01-20,standard,Jan 2022(D)_1,4,7767,0.5,1580,10.0,10 ppm:1580   0.5 ppm:7767,700.0,5,999.0,99.3,899.7,7767 settled faster with all coags but 7878 did give a better water quality,
6,Jan 2022(D),2022-01-20,standard,Jan 2022(D)_1,5,7878,0.5,2537A,10.0,10 ppm:2537A   0.5 ppm:7878,344.0,3,999.0,99.3,899.7,7767 settled faster with all coags but 7878 did give a better water quality,
7,Jan 2022(D),2022-01-20,standard,Jan 2022(D)_1,6,7878,0.5,2495,10.0,10 ppm:2495   0.5 ppm:7878,99.3,1,999.0,99.3,899.7,7767 settled faster with all coags but 7878 did give a better water quality,
8,Jan 2022(D),2022-01-21,standard,Jan 2022(D)_2,1,blank,0.0,blank,0.0,0 ppm:blank   0 ppm:blank,915.0,6,915.0,249.0,666.0,"visually theres little difference, may settle faster with more coag but not significantly",
9,Jan 2022(D),2022-01-21,standard,Jan 2022(D)_2,2,7767,0.5,2537A,5.0,5 ppm:2537A   0.5 ppm:7767,662.0,5,915.0,249.0,666.0,"visually theres little difference, may settle faster with more coag but not significantly",
10,Jan 2022(D),2022-01-21,standard,Jan 2022(D)_2,3,7767,0.5,2537A,10.0,10 ppm:2537A   0.5 ppm:7767,487.0,4,915.0,249.0,666.0,"visually theres little difference, may settle faster with more coag but not significantly",
11,Jan 2022(D),2022-01-21,standard,Jan 2022(D)_2,4,7767,0.5,2537A,15.0,15 ppm:2537A   0.5 ppm:7767,375.0,3,915.0,249.0,666.0,"visually theres little difference, may settle faster with more coag but not significantly",
12,Jan 2022(D),2022-01-21,standard,Jan 2022(D)_2,5,7767,0.5,2537A,20.0,20 ppm:2537A   0.5 ppm:7767,273.0,2,915.0,249.0,666.0,"visually theres little difference, may settle faster with more coag but not significantly",
13,Jan 2022(D),2022-01-21,standard,Jan 2022(D)_2,6,7767,0.5,2537A,25.0,25 ppm:2537A   0.5 ppm:7767,249.0,1,915.0,249.0,666.0,"visually theres little difference, may settle faster with more coag but not significantly",
14,Jan 2022(D),2022-01-22,standard,Jan 2022(D)_3,1,blank,0.0,blank,0.0,0 ppm:blank   0 ppm:blank,999.0,6,999.0,245.0,754.0,"big difference with increasing floc, particle size is much bigger with a good gradient and there is increasingly more FW during the stir period.  Settling is also increase with more floc.  Water clarity still isn't amazing, jars are very hazy.",
15,Jan 2022(D),2022-01-22,standard,Jan 2022(D)_3,2,7767,0.5,2537A,5.0,5 ppm:2537A   0.5 ppm:7767,691.0,5,999.0,245.0,754.0,"big difference with increasing floc, particle size is much bigger with a good gradient and there is increasingly more FW during the stir period.  Settling is also increase with more floc.  Water clarity still isn't amazing, jars are very hazy.",
16,Jan 2022(D),2022-01-22,standard,Jan 2022(D)_3,3,7767,1.0,2537A,5.0,5 ppm:2537A   1 ppm:7767,451.0,4,999.0,245.0,754.0,"big difference with increasing floc, particle size is much bigger with a good gradient and there is increasingly more FW during the stir period.  Settling is also increase with more floc.  Water clarity still isn't amazing, jars are very hazy.",
17,Jan 2022(D),2022-01-22,standard,Jan 2022(D)_3,4,7767,1.5,2537A,5.0,5 ppm:2537A   1.5 ppm:7767,310.0,3,999.0,245.0,754.0,"big difference with increasing floc, particle size is much bigger with a good gradient and there is increasingly more FW during the stir period.  Settling is also increase with more floc.  Water clarity still isn't amazing, jars are very hazy.",
