,EB dose (ppm),REB dose (ppm),Emulsion Flow
0, 251.6 to  261.4,   0.0 to  290.6,  2.20 to   2.20
1, 251.6 to  261.4,   0.0 to  290.6,  2.20 to   2.20
2, 251.6 to  261.4,   0.0 to  290.6,  2.19 to   2.20
3, 251.6 to  261.4,   0.0 to  290.6,  2.19 to   2.20
4, 251.6 to  261.4,   0.0 to  290.6,  2.19 to   2.20
5, 251.6 to  261.4,   0.0 to  290.6,  2.19 to   2.20
6, 251.6 to  261.4,   0.0 to  290.6,  2.19 to   2.20
7, 251.6 to  261.4,   0.0 to  290.6,  2.19 to   2.20
8, 251.6 to  261.4,   0.0 to  290.6,  2.19 to   2.20
9,   0.0 to  251.6,   0.0 to  290.6,  2.20 to   2.20
10,   0.0 to  251.6,   0.0 to  290.6,  2.20 to   2.20
11, 251.6 to  261.4,   0.0 to  290.6,  2.19 to   2.20
12, 251.6 to  261.4,   0.0 to  290.6,  2.19 to   2.20
13, 251.6 to  261.4,   0.0 to  290.6,  2.19 to   2.20
14,,   0.0 to  290.6,  2.19 to   2.20
15,,   0.0 to  290.6,  2.19 to   2.20
16,,   0.0 to  290.6,  2.19 to   2.20
17,,,  2.20 to   2.20
18,,,  2.20 to   2.20
19,,,  2.20 to   2.20
20,,,  2.19 to   2.20
21,,,  2.20 to   2.20
22,,,  2.20 to   2.20
23, 251.6 to  261.4,   0.0 to  290.6,
24, 251.6 to  261.4,   0.0 to  290.6,
25, 251.6 to  261.4,   0.0 to  290.6,
26,, 291.3 to  363.0,  2.19 to   2.20
27,,,  2.20 to   2.20
28,,,  2.20 to   2.20
29,,,  2.20 to   2.20
30,,,  2.20 to   2.20
31,,,  2.20 to   2.20
32, 261.4 to  261.8,,  2.20 to   2.20
33, 251.6 to  261.4, 291.3 to  363.0,
34, 251.6 to  261.4, 291.3 to  363.0,
35, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
36, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
37, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
38, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
39, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
40, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
41, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
42, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
43, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
44, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
45, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
46, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
47, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
48, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
49, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
50, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
51, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
52, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
53, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
54, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
55, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
56, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
57, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
58, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
59, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
60, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
61, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
62, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
63, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
64, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
65, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
66, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
67, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
68, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
69, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
70, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
71, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
72, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
73, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
74, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
75, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
76, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
77, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
78, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
79, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
80, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
81, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
82, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
83, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
84, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
85, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
86, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
87, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
88, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
89, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
90, 251.6 to  261.4, 291.3 to  363.0,  2.20 to   2.20
91, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
92, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
93, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
94, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
95, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
96, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
97, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
98, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
99, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
100, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
101, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
102, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
103, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
104, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
105, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
106, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
107, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
108, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
109, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
110, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
111, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
112, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
113, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
114, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
115, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
116, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
117, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
118, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
119, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
120, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
121, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
122, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
123, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
124, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
125, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
126, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
127, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
128, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
129, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
130, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
131, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
132, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
133, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
134, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
135, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
136, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
137, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
138, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
139, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
140, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
141, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
142, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
143, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
144, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
145, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
146, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
147,   0.0 to  251.6, 291.3 to  363.0,  2.19 to   2.20
148,   0.0 to  251.6, 291.3 to  363.0,  2.19 to   2.20
149, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
150, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
151, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
152, 251.6 to  261.4,   0.0 to  290.6,
153,, 291.3 to  363.0,  2.19 to   2.20
154,, 291.3 to  363.0,  2.19 to   2.20
155, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
156, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
157, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
158, 261.4 to  261.8,   0.0 to  290.6,  2.20 to   2.20
159,, 290.9 to  291.3,  2.20 to   2.20
160,, 290.9 to  291.3,  2.20 to   2.20
161,, 290.9 to  291.3,  2.19 to   2.20
162,, 290.9 to  291.3,  2.19 to   2.20
163,, 290.9 to  291.3,  2.19 to   2.20
164, 261.4 to  261.8,   0.0 to  290.6,  2.20 to   2.20
165,, 291.3 to  363.0,  2.19 to   2.20
166,, 291.3 to  363.0,  2.19 to   2.20
167, 251.6 to  261.4,   0.0 to  290.6,
168, 251.6 to  261.4,   0.0 to  290.6,
169, 251.6 to  261.4,   0.0 to  290.6,
170, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
171,, 290.9 to  291.3,  2.20 to   2.20
172,, 290.9 to  291.3,  2.20 to   2.20
173, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
174, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
175, 261.4 to  261.8, 290.6 to  290.9,  2.20 to   2.20
176,, 290.9 to  291.3,  2.19 to   2.20
177, 251.6 to  261.4,   0.0 to  290.6,
178, 251.6 to  261.4,   0.0 to  290.6,
179,, 290.9 to  291.3,  2.20 to   2.20
180,, 290.9 to  291.3,  2.20 to   2.20
181,, 290.9 to  291.3,  2.20 to   2.20
182,, 290.9 to  291.3,  2.20 to   2.20
183,, 291.3 to  363.0,  2.19 to   2.20
184,, 291.3 to  363.0,  2.19 to   2.20
185, 251.6 to  261.4,   0.0 to  290.6,
186, 251.6 to  261.4,   0.0 to  290.6,
187, 251.6 to  261.4,   0.0 to  290.6,
188, 251.6 to  261.4,   0.0 to  290.6,
189,, 290.9 to  291.3,  2.19 to   2.20
190,, 290.9 to  291.3,  2.19 to   2.20
191,, 290.9 to  291.3,  2.20 to   2.20
192,, 290.9 to  291.3,  2.20 to   2.20
193,, 290.9 to  291.3,  2.20 to   2.20
194,, 290.9 to  291.3,  2.20 to   2.20
195,, 290.9 to  291.3,  2.20 to   2.20
196,, 290.9 to  291.3,  2.20 to   2.20
197, 251.6 to  261.4,   0.0 to  290.6,
198, 251.6 to  261.4,   0.0 to  290.6,
199, 251.6 to  261.4,   0.0 to  290.6,
200, 251.6 to  261.4,   0.0 to  290.6,
201, 251.6 to  261.4,   0.0 to  290.6,
202, 251.6 to  261.4,   0.0 to  290.6,
203,, 291.3 to  363.0,  2.19 to   2.20
204,, 291.3 to  363.0,  2.19 to   2.20
205,, 291.3 to  363.0,  2.19 to   2.20
206, 251.6 to  261.4,   0.0 to  290.6,
207,, 290.6 to  290.9,  2.20 to   2.20
208,, 290.6 to  290.9,  2.20 to   2.20
209,, 291.3 to  363.0,  2.19 to   2.20
210,, 291.3 to  363.0,  2.19 to   2.20
211,, 291.3 to  363.0,  2.19 to   2.20
212,   0.0 to  251.6,   0.0 to  290.6,  2.20 to   2.20
213,   0.0 to  251.6,   0.0 to  290.6,
214,   0.0 to  251.6,   0.0 to  290.6,
215,, 291.3 to  363.0,  2.19 to   2.20
216,, 291.3 to  363.0,  2.19 to   2.20
217,, 291.3 to  363.0,  2.19 to   2.20
218,, 290.6 to  290.9,  2.20 to   2.20
219,   0.0 to  251.6, 290.9 to  291.3,  2.20 to   2.20
220,   0.0 to  251.6, 290.9 to  291.3,  2.20 to   2.20
221,   0.0 to  251.6,   0.0 to  290.6,
222,   0.0 to  251.6,   0.0 to  290.6,
223,   0.0 to  251.6,   0.0 to  290.6,
224,   0.0 to  251.6, 290.6 to  290.9,  2.20 to   2.20
225,   0.0 to  251.6,   0.0 to  290.6,  2.20 to   2.20
226,   0.0 to  251.6,   0.0 to  290.6,  2.20 to   2.20
227,   0.0 to  251.6, 291.3 to  363.0,  2.19 to   2.20
228,   0.0 to  251.6, 291.3 to  363.0,  2.19 to   2.20
229,   0.0 to  251.6, 291.3 to  363.0,  2.19 to   2.20
230,   0.0 to  251.6, 291.3 to  363.0,  2.19 to   2.20
231,   0.0 to  251.6, 291.3 to  363.0,  2.19 to   2.20
232,   0.0 to  251.6, 291.3 to  363.0,  2.19 to   2.20
233,   0.0 to  251.6, 290.6 to  290.9,  2.20 to   2.20
234,   0.0 to  251.6, 290.6 to  290.9,  2.20 to   2.20
235,   0.0 to  251.6, 290.6 to  290.9,  2.20 to   2.20
236,   0.0 to  251.6, 290.9 to  291.3,  2.20 to   2.20
237,   0.0 to  251.6, 291.3 to  363.0,  2.19 to   2.20
238,   0.0 to  251.6, 291.3 to  363.0,  2.19 to   2.20
239,   0.0 to  251.6, 290.9 to  291.3,  2.20 to   2.20
240,   0.0 to  251.6, 290.9 to  291.3,  2.20 to   2.20
241,   0.0 to  251.6, 290.9 to  291.3,  2.20 to   2.20
242,   0.0 to  251.6, 291.3 to  363.0,  2.19 to   2.20
243,   0.0 to  251.6, 291.3 to  363.0,  2.19 to   2.20
244,   0.0 to  251.6, 291.3 to  363.0,  2.19 to   2.20
245,   0.0 to  251.6, 291.3 to  363.0,  2.19 to   2.20
246,   0.0 to  251.6, 291.3 to  363.0,  2.19 to   2.20
247,   0.0 to  251.6, 291.3 to  363.0,  2.19 to   2.20
248,   0.0 to  251.6,   0.0 to  290.6,
249,   0.0 to  251.6, 291.3 to  363.0,  2.19 to   2.20
250,   0.0 to  251.6, 291.3 to  363.0,  2.19 to   2.20
251,   0.0 to  251.6,   0.0 to  290.6,  2.20 to   2.20
252,   0.0 to  251.6,   0.0 to  290.6,  2.20 to   2.20
253,   0.0 to  251.6,   0.0 to  290.6,  2.20 to   2.20
254,   0.0 to  251.6,   0.0 to  290.6,
255,   0.0 to  251.6, 290.6 to  290.9,  2.20 to   2.20
256,   0.0 to  251.6, 290.6 to  290.9,  2.20 to   2.20
257,   0.0 to  251.6, 290.9 to  291.3,  2.20 to   2.20
258,   0.0 to  251.6, 290.9 to  291.3,  2.20 to   2.20
259,   0.0 to  251.6, 290.9 to  291.3,  2.20 to   2.20
260,   0.0 to  251.6, 290.6 to  290.9,  2.20 to   2.20
261,   0.0 to  251.6, 290.6 to  290.9,  2.20 to   2.20
262,   0.0 to  251.6, 290.6 to  290.9,  2.20 to   2.20
263,   0.0 to  251.6,   0.0 to  290.6,
264,   0.0 to  251.6,   0.0 to  290.6,
265,   0.0 to  251.6,   0.0 to  290.6,
